"","pvalue","log2FoldChange","padj","Regulation"
"ENSG00000141384",8.27815334036767e-20,3.05398717607383,1.78062332571728e-17,"Up"
"ENSG00000228308",2.15233074007573e-07,3.05098061696,5.04804015226406e-06,"Up"
"ENSG00000258017",3.52872004797007e-09,3.04430384257454,1.27460998283409e-07,"Up"
"ENSG00000101347",2.7179430294852e-11,3.04422853178379,1.49869763907595e-09,"Up"
"ENSG00000184497",4.29822873607615e-11,3.03674247996939,2.23582808938027e-09,"Up"
"ENSG00000138271",7.09828980820206e-10,3.02751961571813,2.92204771483849e-08,"Up"
"ENSG00000111252",2.62798169954385e-12,3.02394910128791,1.73810778554872e-10,"Up"
"ENSG00000168685",0.000127434034280692,3.02394526683185,0.00125426178944427,"Up"
"ENSG00000107485",3.39782125414262e-06,3.01739061885037,5.65734869343858e-05,"Up"
"ENSG00000203814",5.86425210755108e-11,3.01346111837029,2.99817737301691e-09,"Up"
"ENSG00000198156",1.12670140870634e-16,3.00431329953593,1.59178241622915e-14,"Up"
"ENSG00000145623",3.217209518174e-09,3.00385589897682,1.17273426650263e-07,"Up"
"ENSG00000105219",4.38100152311012e-08,3.00375068468586,1.22770883058424e-06,"Up"
"ENSG00000137869",0.000689885951696007,2.99843618016351,0.00509487070296748,"Up"
"ENSG00000175003",0.000225609104385644,2.99335124135,0.0020023779121895,"Up"
"ENSG00000183160",1.55355877356597e-10,2.99239969067063,7.27309201522767e-09,"Up"
"ENSG00000144136",3.68003996416909e-15,2.98756632806238,4.08672717137215e-13,"Up"
"ENSG00000114268",2.43793372660744e-13,2.98669655420956,1.95329213612347e-11,"Up"
"ENSG00000171126",0.000124758588330792,2.98628501302792,0.00123343107866915,"Up"
"ENSG00000168961",2.20103868395374e-06,2.98197775564771,3.86980851384975e-05,"Up"
"ENSG00000136244",4.87550849372009e-12,2.97655618596835,3.05531865606459e-10,"Up"
"ENSG00000136869",2.67981294695235e-09,2.97567169697535,9.91987812735417e-08,"Up"
"ENSG00000122877",6.13651045591193e-13,2.97369445323059,4.54226525807412e-11,"Up"
"ENSG00000283064",0.000262270385285518,2.96753409310007,0.00227212181388862,"Up"
"ENSG00000187688",6.62735680134282e-09,2.96030467938498,2.25727205404937e-07,"Up"
